request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_50,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2025. None of the available options keeps the INR 99,700 minimum protected."
request_51,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2026. None of the available options keeps the IDR 7,811,000 minimum protected."
request_52,5443.58,affordable_later,wait,2024-08-15:28870,2024-08-15,none,"Pay INR 28,870 in full on 15 August 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 January 2026. None of the available options keeps the USD 2,100 minimum protected."
request_54,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,80428.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,266.42,affordable_with_plan,partial_payment,2025-02-03:266.42|2025-02-15:615.14,2025-02-15,none,"Pay USD 266.42 today and the remaining USD 615.14 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. None of the available options keeps the ZAR 42,700 minimum protected."
request_58,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,60741.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 July 2025. None of the available options keeps the INR 132,600 minimum protected."
request_60,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2026. None of the available options keeps the USD 400 minimum protected.
request_61,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 May 2024. None of the available options keeps the ZAR 36,700 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,14490.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. None of the available options keeps the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,216.13,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,295.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected."
request_69,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 January 2026. None of the available options keeps the EUR 700 minimum protected.
request_70,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the INR 115,000 minimum protected."
request_71,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,4192.45,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2026. None of the available options keeps the ZAR 12,200 minimum protected."
request_73,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 February 2023. None of the available options keeps the INR 103,200 minimum protected."
request_74,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 October 2025. None of the available options keeps the ZAR 21,900 minimum protected."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,11970.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the INR 82,200 minimum protected."
request_78,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
request_79,181.94,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2026. None of the available options keeps the USD 1,600 minimum protected."
request_82,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. None of the available options keeps the INR 91,300 minimum protected."
request_85,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,30606.6,affordable_later,wait,2025-08-23:46300,2025-08-23,none,"Pay INR 46,300 in full on 23 August 2025. Paying earlier would take the balance below the INR 84,900 minimum."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 August 2024. None of the available options keeps the ZAR 25,800 minimum protected."
request_89,8189458.64,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,205.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 September 2026. None of the available options keeps the ZAR 7,600 minimum protected."
request_91,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the EUR 2,100 minimum protected."
request_92,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the ZAR 28,100 minimum protected."
request_93,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 April 2026. None of the available options keeps the USD 1,900 minimum protected."
request_94,217.52,not_affordable,not_recommended,none,,none,Do not make this payment by 22 December 2024. None of the available options keeps the EUR 600 minimum protected.
request_95,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,55054.07,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 May 2024. None of the available options keeps the ZAR 29,700 minimum protected."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,16618.43,affordable_later,wait,2026-07-15:18062,2026-07-15,none,"Pay ZAR 18,062 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 49,100 minimum."
request_100,16768.12,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the INR 187,400 minimum protected."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 June 2026. None of the available options keeps the INR 73,900 minimum protected."
request_106,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,200 minimum protected."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,368.51,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,17803.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 October 2025. None of the available options keeps the ZAR 11,200 minimum protected."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 June 2024. None of the available options keeps the EUR 500 minimum protected.
request_113,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 October 2026. None of the available options keeps the INR 82,300 minimum protected."
request_114,32124.73,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 38,800 minimum protected."
request_116,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,486.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2026. None of the available options keeps the EUR 1,000 minimum protected."
request_118,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 8 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,34891.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 April 2026. None of the available options keeps the IDR 20,050,300 minimum protected."
request_121,474.48,affordable_later,wait,2024-05-15:633.60,2024-05-15,none,Pay USD 633.60 in full on 15 May 2024. Paying earlier would take the balance below the USD 800 minimum.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,822.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,600 minimum protected."
request_125,364.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,21129.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2026. None of the available options keeps the INR 129,700 minimum protected."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,21180.29,affordable_later,wait,2025-03-15:25168,2025-03-15,none,"Pay ZAR 25,168 in full on 15 March 2025. Paying earlier would take the balance below the ZAR 42,600 minimum."
request_129,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,400 minimum protected."
request_131,831.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 8 July 2025. None of the available options keeps the USD 1,100 minimum protected."
request_132,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 February 2026. None of the available options keeps the USD 1,100 minimum protected."
request_133,15770000.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,5396513.25,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the IDR 15,902,500 minimum protected."
request_135,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2026. None of the available options keeps the USD 500 minimum protected.
request_136,497.98,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Pay USD 560.40 in full on 15 June 2024. Paying earlier would take the balance below the USD 1,100 minimum."
request_137,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 71,800 minimum protected."
request_138,85.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 5 June 2026. None of the available options keeps the EUR 2,300 minimum protected."
request_139,1230.19,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options keeps the INR 67,300 minimum protected."
request_142,1237.29,affordable_with_plan,full_payment,2024-12-05:1263.60,,reduce_to:event_13105:25.50,"Reduce the bakery and snacks to USD 25.50, then pay USD 1,263.60 today. This leaves at least USD 1,700 available."
request_143,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 July 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_144,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. None of the available options keeps the USD 600 minimum protected.
request_145,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,74.55,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 August 2024. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,12064.07,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,10014381.13,affordable_later,wait,2024-11-15:26999000,2024-11-15,none,"Pay IDR 26,999,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 31,633,600 minimum."
request_152,802.25,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. None of the available options keeps the ZAR 26,900 minimum protected."
request_157,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 15,714,100 minimum protected."
request_158,100386.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 October 2025. None of the available options keeps the INR 131,400 minimum protected."
request_159,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,200 minimum protected."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the IDR 29,550,500 minimum protected."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,38755.13,affordable_later,wait,2025-07-23:43802,2025-07-23,none,"Pay ZAR 43,802 in full on 23 July 2025. Paying earlier would take the balance below the ZAR 31,200 minimum."
request_168,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 March 2026. None of the available options keeps the INR 114,400 minimum protected."
request_169,30191.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 May 2024. None of the available options keeps the ZAR 18,700 minimum protected."
request_170,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 October 2025. None of the available options keeps the IDR 24,715,800 minimum protected."
request_171,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 July 2024. None of the available options keeps the ZAR 27,200 minimum protected."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,1969.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 October 2024. None of the available options keeps the EUR 1,700 minimum protected."
request_176,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,177.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2026. None of the available options keeps the USD 1,300 minimum protected."
request_178,1934.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2025. None of the available options keeps the EUR 1,400 minimum protected."
request_179,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 July 2025. None of the available options keeps the IDR 41,430,800 minimum protected."
request_180,43408.9,affordable_with_plan,installments,2026-07-06:11970|2026-08-03:11970|2026-08-31:11970|2026-09-28:11970|2026-10-26:11970|2026-11-23:11970,,none,"Use 6 installments of INR 11,970, starting 6 July 2026. This leaves at least INR 37,300 available."
request_181,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,6955699.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the EUR 1,300 minimum protected."
request_186,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 128,300 minimum protected."
request_188,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,314.84,not_affordable,not_recommended,none,,none,Do not make this payment by 14 August 2026. None of the available options keeps the EUR 400 minimum protected.
request_190,444.04,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_191,530.97,affordable_later,wait,2025-07-15:664.40,2025-07-15,none,Pay EUR 664.40 in full on 15 July 2025. Paying earlier would take the balance below the EUR 500 minimum.
request_192,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_194,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 October 2025. None of the available options keeps the INR 113,600 minimum protected."
request_195,378.55,not_affordable,not_recommended,none,,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,13484424.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 November 2024. None of the available options keeps the IDR 25,359,500 minimum protected."
request_200,20539875.44,affordable_with_plan,full_payment,2025-02-06:21717000,2025-04-15,reduce_to:event_18422:394250|stop:event_18423,"Reduce the games and recreation to IDR 394,250 and Stop the shared storage plan, then pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,75418.11,affordable_later,wait,2025-02-15:123900,2025-02-15,none,"Pay INR 123,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 147,800 minimum."
request_203,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 8 July 2025. None of the available options keeps the EUR 1,400 minimum protected."
request_204,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 31 January 2026. None of the available options keeps the EUR 1,300 minimum protected."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,3387.78,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 July 2024. None of the available options keeps the IDR 10,470,700 minimum protected."
request_209,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 June 2026. None of the available options keeps the USD 2,000 minimum protected."
request_211,126.06,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 March 2026. None of the available options keeps the USD 2,100 minimum protected."
request_214,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 January 2025. None of the available options keeps the INR 174,900 minimum protected."
request_215,15701.02,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 July 2025. None of the available options keeps the ZAR 15,700 minimum protected."
request_216,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. None of the available options keeps the USD 1,800 minimum protected."
request_217,15054.37,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 May 2024. None of the available options keeps the ZAR 26,800 minimum protected."
